"Date","Price","Open","High","Low","Vol.","Change %"
"04/23/2017","12,544.92","12,906.62","12,906.62","12,544.92","186.80M","-2.80%"
"04/20/2017","12,905.85","12,895.30","12,972.18","12,895.30","116.48M","0.08%"
"04/19/2017","12,895.30","13,032.84","13,032.84","12,883.30","108.29M","-1.01%"
"04/18/2017","13,027.14","12,969.12","13,129.84","12,969.12","147.44M","0.46%"
"04/13/2017","12,967.38","12,982.55","12,984.36","12,934.32","85.32M","-0.13%"
"04/12/2017","12,984.36","13,004.44","13,070.08","12,984.36","117.02M","-0.09%"
"04/11/2017","12,995.71","12,857.31","13,012.44","12,856.83","116.58M","1.15%"
"04/10/2017","12,848.56","12,876.67","12,887.02","12,832.86","141.30M","-0.36%"
"04/09/2017","12,895.12","13,098.54","13,099.94","12,890.04","178.39M","-1.55%"
"04/06/2017","13,098.54","13,286.77","13,286.98","13,098.54","106.29M","-1.44%"
"04/05/2017","13,289.99","13,267.81","13,407.12","13,267.81","221.16M","0.19%"
"04/04/2017","13,264.75","13,085.81","13,268.64","13,085.81","278.91M","1.56%"
"04/03/2017","13,061.07","12,915.33","13,063.49","12,914.87","157.16M","1.15%"
"04/02/2017","12,912.27","12,994.80","13,022.67","12,912.27","117.15M","-0.64%"
"03/30/2017","12,994.80","12,993.94","13,078.20","12,975.87","159.84M","0.06%"
"03/29/2017","12,987.65","12,988.42","13,026.30","12,987.59","152.39M","0.04%"
"03/28/2017","12,982.66","12,971.04","12,999.04","12,938.11","162.96M","0.10%"
"03/27/2017","12,969.64","13,119.42","13,129.26","12,969.64","191.32M","-1.06%"
"03/26/2017","13,108.22","13,035.56","13,120.76","13,035.56","231.53M","0.58%"
"03/23/2017","13,032.06","12,880.15","13,042.51","12,880.10","272.89M","1.19%"
"03/22/2017","12,879.06","12,906.92","12,918.11","12,848.53","147.92M","-0.20%"
"03/21/2017","12,905.37","13,025.80","13,026.02","12,905.30","157.87M","-0.91%"
"03/20/2017","13,023.49","13,108.84","13,133.17","13,023.49","358.68M","-0.53%"
"03/19/2017","13,092.40","13,068.62","13,190.01","13,068.62","282.84M","0.83%"
"03/16/2017","12,983.99","12,747.23","12,984.22","12,747.23","280.53M","1.87%"
