"Date","Price","Open","High","Low","Vol.","Change %"
"04/23/2019","11,154.18","11,148.57","11,182.03","11,131.95","","0.05%"
"04/22/2019","11,148.57","11,113.87","11,153.50","11,109.93","","0.31%"
"04/19/2019","11,113.87","11,091.55","11,141.20","11,062.79","","0.20%"
"04/18/2019","11,091.55","11,095.37","11,116.83","11,058.68","","-0.03%"
"04/17/2019","11,095.37","11,064.06","11,101.41","11,056.35","","0.28%"
"04/16/2019","11,064.06","11,037.28","11,064.06","11,022.23","","0.24%"
"04/15/2019","11,037.28","11,015.00","11,037.28","10,996.06","","0.20%"
"04/12/2019","11,015.00","11,022.73","11,097.84","10,994.04","","-0.07%"
"04/11/2019","11,022.73","10,998.61","11,028.70","10,993.86","","0.22%"
"04/10/2019","10,998.61","10,973.08","11,004.75","10,958.30","","0.23%"
"04/09/2019","10,973.08","11,015.94","11,015.94","10,945.68","","-0.39%"
"04/08/2019","11,015.94","10,928.02","11,019.13","10,928.02","","0.80%"
"04/05/2019","10,928.02","10,996.79","10,997.76","10,928.02","","-0.71%"
"04/04/2019","11,005.81","11,000.63","11,005.90","10,989.80","","0.05%"
"04/03/2019","11,000.63","11,049.08","11,093.53","10,989.28","","-0.44%"
"04/02/2019","11,049.08","10,990.78","11,049.16","10,990.78","","0.53%"
"04/01/2019","10,990.78","10,912.23","10,992.10","10,882.38","","0.72%"
"03/29/2019","10,912.23","11,092.90","11,092.90","10,910.98","","-1.63%"
"03/28/2019","11,092.90","11,084.66","11,152.43","11,068.37","","0.07%"
"03/27/2019","11,084.66","11,075.78","11,111.19","11,035.97","","0.08%"
"03/26/2019","11,075.78","11,021.59","11,075.78","10,964.96","","0.43%"
"03/25/2019","11,028.19","10,965.18","11,028.19","10,959.27","","0.57%"
"03/22/2019","10,965.18","11,145.82","11,206.08","10,965.18","","-1.62%"
"03/21/2019","11,145.82","11,154.79","11,201.54","11,109.42","","-0.08%"
"03/20/2019","11,154.79","11,112.39","11,180.07","11,096.04","","0.38%"
"03/19/2019","11,112.39","10,987.05","11,112.39","10,987.05","","1.14%"
"03/18/2019","10,987.05","10,978.78","10,996.18","10,974.06","","0.08%"
"03/15/2019","10,978.78","11,000.68","11,080.12","10,978.78","","-0.20%"
"03/14/2019","11,000.68","11,114.69","11,142.50","11,000.60","","-1.03%"
"03/13/2019","11,114.69","11,117.76","11,126.88","11,052.20","","-0.03%"
"03/12/2019","11,117.76","11,103.20","11,152.32","11,097.62","","0.13%"
"03/11/2019","11,103.20","11,106.95","11,121.52","11,090.41","","-0.03%"
"03/08/2019","11,106.95","11,146.56","11,172.21","11,106.41","","-0.36%"
"03/07/2019","11,146.56","11,171.52","11,206.61","11,122.67","","-0.22%"
"03/06/2019","11,171.52","11,183.36","11,183.36","11,069.79","","-0.11%"
"03/05/2019","11,183.36","11,192.98","11,200.73","11,156.25","","-0.09%"
"03/04/2019","11,192.98","11,163.70","11,206.41","11,127.74","","0.26%"
"03/01/2019","11,163.70","11,136.57","11,183.38","11,122.41","","0.24%"
"02/28/2019","11,136.57","11,250.78","11,250.81","11,124.34","","-1.02%"
"02/27/2019","11,250.78","11,314.83","11,314.99","11,232.41","","-0.57%"
"02/26/2019","11,314.83","11,249.65","11,316.75","11,233.77","","0.58%"
"02/25/2019","11,249.65","11,296.67","11,330.14","11,239.23","","-0.42%"
"02/22/2019","11,296.67","11,382.81","11,416.74","11,296.02","","-0.76%"
"02/21/2019","11,382.81","11,416.50","11,417.19","11,354.47","","-0.30%"
"02/20/2019","11,416.50","11,483.90","11,501.53","11,415.18","","-0.59%"
"02/19/2019","11,483.90","11,422.13","11,483.90","11,401.13","","0.54%"
"02/18/2019","11,422.13","11,384.56","11,504.75","11,384.56","","0.33%"
"02/15/2019","11,384.56","11,453.22","11,472.21","11,384.56","","-0.60%"
"02/14/2019","11,453.22","11,484.88","11,509.40","11,453.22","","-0.28%"
"02/13/2019","11,484.88","11,501.53","11,502.20","11,456.25","","-0.14%"
"02/12/2019","11,501.53","11,385.03","11,501.53","11,384.19","","1.02%"
"02/11/2019","11,385.03","11,375.15","11,398.43","11,371.79","","0.09%"
"02/08/2019","11,375.15","11,347.05","11,387.31","11,322.17","","0.25%"
"02/07/2019","11,347.05","11,403.56","11,419.51","11,340.14","","-0.50%"
"02/06/2019","11,403.56","11,381.42","11,403.56","11,360.43","","0.19%"
"02/05/2019","11,381.42","11,382.54","11,420.45","11,365.26","","-0.01%"
"02/04/2019","11,382.54","11,358.73","11,398.85","11,350.37","","0.21%"
"02/01/2019","11,358.73","11,350.73","11,462.49","11,350.73","","0.07%"
"01/31/2019","11,350.73","11,428.15","11,448.03","11,350.43","","-0.68%"
"01/30/2019","11,428.15","11,384.91","11,452.61","11,379.48","","0.38%"
"01/29/2019","11,384.91","11,335.86","11,389.44","11,319.52","","0.43%"
